benchmark_id,group,group_name,language,expected_record_id,expected_category,canonical_question,test_query,query_type,expected_routing_behavior,human_twi_review_required,detected_language,initial_top_record_id,initial_top_question,initial_top_category,initial_raw_tfidf_score,initial_semantic_similarity,initial_semantic_retrieval_score,initial_routing_state,initial_match_level,gemini_eligible,gemini_attempted,gemini_accepted,final_record_id,final_question,final_category,final_routing_state,response_type,knowledge_gap,off_topic,response_language,response_language_ok,initial_retrieval_elapsed_ms,final_pipeline_elapsed_ms,expected_record_raw_tfidf_score,exact_expected_record_match,routing_expectation_pass,generated_agricultural_answer
C4-A-014,A,Direct English,en,79,Fish Farming,How can I store dried fish or meat without a refrigerator?,How can I store dried fish or meat without a refrigerator?,canonical_direct,A,False,English,79,How can I store dried fish or meat without a refrigerator?,Fish Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,79,How can I store dried fish or meat without a refrigerator?,Fish Farming,A,answer,False,False,en,True,19.428,21.153,1.0,True,True,False
C4-A-015,A,Direct English,en,147,Garden Eggs,What are the best practices for growing garden eggs?,What are the best practices for growing garden eggs?,canonical_direct,A,False,English,147,What are the best practices for growing garden eggs?,Garden Eggs,1.0,1.0,1.0,A,normalized_exact,False,False,False,147,What are the best practices for growing garden eggs?,Garden Eggs,A,answer,False,False,en,True,19.521,18.225,1.0,True,True,False
C4-A-016,A,Direct English,en,187,Goat Rearing,What are the signs that a goat is pregnant and what should I do?,What are the signs that a goat is pregnant and what should I do?,canonical_direct,A,False,English,187,What are the signs that a goat is pregnant and what should I do?,Goat Rearing,1.0,1.0,1.0,A,normalized_exact,False,False,False,187,What are the signs that a goat is pregnant and what should I do?,Goat Rearing,A,answer,False,False,en,True,19.594,20.025,1.0,True,True,False
C4-A-017,A,Direct English,en,454,Grasscutter Farming,What housing does grasscutter farming require?,What housing does grasscutter farming require?,canonical_direct,A,False,English,454,What housing does grasscutter farming require?,Grasscutter Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,454,What housing does grasscutter farming require?,Grasscutter Farming,A,answer,False,False,en,True,16.871,17.084,1.0,True,True,False
C4-A-018,A,Direct English,en,384,Groundnut & Legumes,How can I improve groundnut flowering and pod formation?,How can I improve groundnut flowering and pod formation?,canonical_direct,A,False,English,384,How can I improve groundnut flowering and pod formation?,Groundnut & Legumes,1.0,1.0,1.0,A,normalized_exact,False,False,False,384,How can I improve groundnut flowering and pod formation?,Groundnut & Legumes,A,answer,False,False,en,True,18.822,17.733,1.0,True,True,False
C4-A-019,A,Direct English,en,64,Harvesting & Storage,What time of day is best for harvesting vegetables?,What time of day is best for harvesting vegetables?,canonical_direct,A,False,English,64,What time of day is best for harvesting vegetables?,Harvesting & Storage,1.0,1.0,1.0,A,normalized_exact,False,False,False,64,What time of day is best for harvesting vegetables?,Harvesting & Storage,A,answer,False,False,en,True,16.946,19.924,1.0,True,True,False
C4-A-020,A,Direct English,en,43,Irrigation & Water,My beans have rust disease. What should I do?,My beans have rust disease. What should I do?,canonical_direct,A,False,English,43,My beans have rust disease. What should I do?,Irrigation & Water,1.0,1.0,1.0,A,normalized_exact,False,False,False,43,My beans have rust disease. What should I do?,Irrigation & Water,A,answer,False,False,en,True,18.173,18.771,1.0,True,True,False
C4-A-021,A,Direct English,en,2,Maize,What fertilizer is best for maize?,What fertilizer is best for maize?,canonical_direct,A,False,English,2,What fertilizer is best for maize?,Maize,1.0,1.0,1.0,A,normalized_exact,False,False,False,2,What fertilizer is best for maize?,Maize,A,answer,False,False,en,True,22.65,42.966,1.0,True,True,False
C4-A-022,A,Direct English,en,424,Mushroom Farming,What basic conditions do mushrooms need to grow?,What basic conditions do mushrooms need to grow?,canonical_direct,A,False,English,424,What basic conditions do mushrooms need to grow?,Mushroom Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,424,What basic conditions do mushrooms need to grow?,Mushroom Farming,A,answer,False,False,en,True,32.144,60.66,1.0,True,True,False
C4-A-023,A,Direct English,en,534,Oil Palm & Coconut,Why is spacing important in oil palm plantations?,Why is spacing important in oil palm plantations?,canonical_direct,A,False,English,534,Why is spacing important in oil palm plantations?,Oil Palm & Coconut,1.0,1.0,1.0,A,normalized_exact,False,False,False,534,Why is spacing important in oil palm plantations?,Oil Palm & Coconut,A,answer,False,False,en,True,50.143,37.446,1.0,True,True,False
C4-A-024,A,Direct English,en,394,Okra Farming,How do I start an okra farm?,How do I start an okra farm?,canonical_direct,A,False,English,394,How do I start an okra farm?,Okra Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,394,How do I start an okra farm?,Okra Farming,A,answer,False,False,en,True,47.157,36.172,1.0,True,True,False
C4-A-025,A,Direct English,en,54,Onion,How can I control thrips on onions?,How can I control thrips on onions?,canonical_direct,A,False,English,54,How can I control thrips on onions?,Onion,1.0,1.0,1.0,A,normalized_exact,False,False,False,54,How can I control thrips on onions?,Onion,A,answer,False,False,en,True,37.066,45.412,1.0,True,True,False
C4-A-026,A,Direct English,en,68,Palm & Coconut,How do I know when palm fruits are ready to harvest?,How do I know when palm fruits are ready to harvest?,canonical_direct,A,False,English,68,How do I know when palm fruits are ready to harvest?,Palm & Coconut,1.0,1.0,1.0,A,normalized_exact,False,False,False,68,How do I know when palm fruits are ready to harvest?,Palm & Coconut,A,answer,False,False,en,True,45.536,40.325,1.0,True,True,False
C4-A-027,A,Direct English,en,48,Pepper,How can I make a homemade chili pesticide spray?,How can I make a homemade chili pesticide spray?,canonical_direct,A,False,English,48,How can I make a homemade chili pesticide spray?,Pepper,1.0,1.0,1.0,A,normalized_exact,False,False,False,48,How can I make a homemade chili pesticide spray?,Pepper,A,answer,False,False,en,True,38.537,42.298,1.0,True,True,False
C4-A-028,A,Direct English,en,31,Pest & Disease Control,How can I control weevils in stored grain?,How can I control weevils in stored grain?,canonical_direct,A,False,English,31,How can I control weevils in stored grain?,Pest & Disease Control,1.0,1.0,1.0,A,normalized_exact,False,False,False,31,How can I control weevils in stored grain?,Pest & Disease Control,A,answer,False,False,en,True,40.702,51.536,1.0,True,True,False
C4-A-029,A,Direct English,en,434,Pig Farming,How do I choose healthy piglets?,How do I choose healthy piglets?,canonical_direct,A,False,English,434,How do I choose healthy piglets?,Pig Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,434,How do I choose healthy piglets?,Pig Farming,A,answer,False,False,en,True,53.142,47.35,1.0,True,True,False
C4-A-030,A,Direct English,en,137,Plantain & Banana,What fertilizer is best for plantain?,What fertilizer is best for plantain?,canonical_direct,A,False,English,137,What fertilizer is best for plantain?,Plantain & Banana,1.0,1.0,1.0,A,normalized_exact,False,False,False,137,What fertilizer is best for plantain?,Plantain & Banana,A,answer,False,False,en,True,20.155,18.678,1.0,True,True,False
C4-A-031,A,Direct English,en,504,Post-Harvest & Food Safety,Why should harvested vegetables not be left in direct sun?,Why should harvested vegetables not be left in direct sun?,canonical_direct,A,False,English,504,Why should harvested vegetables not be left in direct sun?,Post-Harvest & Food Safety,1.0,1.0,1.0,A,normalized_exact,False,False,False,504,Why should harvested vegetables not be left in direct sun?,Post-Harvest & Food Safety,A,answer,False,False,en,True,17.632,25.041,1.0,True,True,False
C4-A-032,A,Direct English,en,3,Poultry Farming,Can I use animal manure instead of chemical fertilizer?,Can I use animal manure instead of chemical fertilizer?,canonical_direct,A,False,English,3,Can I use animal manure instead of chemical fertilizer?,Poultry Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,3,Can I use animal manure instead of chemical fertilizer?,Poultry Farming,A,answer,False,False,en,True,25.145,21.17,1.0,True,True,False
C4-A-033,A,Direct English,en,444,Rabbit Farming,How do I start a small rabbit farm?,How do I start a small rabbit farm?,canonical_direct,A,False,English,444,How do I start a small rabbit farm?,Rabbit Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,444,How do I start a small rabbit farm?,Rabbit Farming,A,answer,False,False,en,True,24.323,27.676,1.0,True,True,False
C4-A-034,A,Direct English,en,364,Rice Farming,How should I choose a rice field site?,How should I choose a rice field site?,canonical_direct,A,False,English,364,How should I choose a rice field site?,Rice Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,364,How should I choose a rice field site?,Rice Farming,A,answer,False,False,en,True,18.834,28.433,1.0,True,True,False
C4-A-035,A,Direct English,en,265,Sheep Rearing,How do I start sheep farming in Ghana?,How do I start sheep farming in Ghana?,canonical_direct,A,False,English,265,How do I start sheep farming in Ghana?,Sheep Rearing,1.0,1.0,1.0,A,normalized_exact,False,False,False,265,How do I start sheep farming in Ghana?,Sheep Rearing,A,answer,False,False,en,True,22.253,22.506,1.0,True,True,False
C4-A-036,A,Direct English,en,464,Snail Farming,How do I choose a site for snail farming?,How do I choose a site for snail farming?,canonical_direct,A,False,English,464,How do I choose a site for snail farming?,Snail Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,464,How do I choose a site for snail farming?,Snail Farming,A,answer,False,False,en,True,22.571,22.85,1.0,True,True,False
C4-A-037,A,Direct English,en,1,Soil & Land Preparation,What are the signs of good farming soil?,What are the signs of good farming soil?,canonical_direct,A,False,English,1,What are the signs of good farming soil?,Soil & Land Preparation,1.0,1.0,1.0,A,normalized_exact,False,False,False,1,What are the signs of good farming soil?,Soil & Land Preparation,A,answer,False,False,en,True,64.355,43.005,1.0,True,True,False
C4-A-038,A,Direct English,en,21,Tomato,Can I grow vegetables during the dry season?,Can I grow vegetables during the dry season?,canonical_direct,A,False,English,21,Can I grow vegetables during the dry season?,Tomato,1.0,1.0,1.0,A,normalized_exact,False,False,False,21,Can I grow vegetables during the dry season?,Tomato,A,answer,False,False,en,True,55.391,58.61,1.0,True,True,False
C4-A-039,A,Direct English,en,414,Watermelon Farming,How do I select land for watermelon?,How do I select land for watermelon?,canonical_direct,A,False,English,414,How do I select land for watermelon?,Watermelon Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,414,How do I select land for watermelon?,Watermelon Farming,A,answer,False,False,en,True,21.054,25.124,1.0,True,True,False
C4-A-040,A,Direct English,en,75,Yam,How should I store yam properly?,How should I store yam properly?,canonical_direct,A,False,English,75,How should I store yam properly?,Yam,1.0,1.0,1.0,A,normalized_exact,False,False,False,75,How should I store yam properly?,Yam,A,answer,False,False,en,True,18.432,18.791,1.0,True,True,False
C4-B-001,B,Direct Twi,tw,474,Beekeeping,Dɛn na ɛsɛ sɛ misusuw ho ansa na mahyɛ nkyene yɛ kuayɛ ase?,Dɛn na ɛsɛ sɛ misusuw ho ansa na mahyɛ nkyene yɛ kuayɛ ase?,canonical_direct,A,False,Twi,474,Dɛn na ɛsɛ sɛ misusuw ho ansa na mahyɛ nkyene yɛ kuayɛ ase?,Beekeeping,1.0,1.0,1.0,A,normalized_exact,False,False,False,474,Dɛn na ɛsɛ sɛ misusuw ho ansa na mahyɛ nkyene yɛ kuayɛ ase?,Beekeeping,A,answer,False,False,tw,True,23.397,21.494,1.0,True,True,False
C4-B-002,B,Direct Twi,tw,83,Business & Marketing,Ɛhe na metumi de m'afuo nnuaba tɔn na nya boɔ pa?,Ɛhe na metumi de m'afuo nnuaba tɔn na nya boɔ pa?,canonical_direct,A,False,Twi,83,Ɛhe na metumi de m'afuo nnuaba tɔn na nya boɔ pa?,Business & Marketing,1.0,1.0,1.0,A,normalized_exact,False,False,False,83,Ɛhe na metumi de m'afuo nnuaba tɔn na nya boɔ pa?,Business & Marketing,A,answer,False,False,tw,True,16.419,18.391,1.0,True,True,False
C4-B-003,B,Direct Twi,tw,247,Carrot,Dɛn na menyɛ sɛ meto carrot wɔ Ghana?,Dɛn na menyɛ sɛ meto carrot wɔ Ghana?,canonical_direct,A,False,Twi,247,Dɛn na menyɛ sɛ meto carrot wɔ Ghana?,Carrot,1.0,1.0,1.0,A,normalized_exact,False,False,False,247,Dɛn na menyɛ sɛ meto carrot wɔ Ghana?,Carrot,A,answer,False,False,tw,True,16.922,17.345,1.0,True,True,False
C4-B-004,B,Direct Twi,tw,33,Cassava,M'bankye nhaban redan sika na rekyekye. Dɛn na ɛhia?,M'bankye nhaban redan sika na rekyekye. Dɛn na ɛhia?,canonical_direct,A,False,Twi,33,M'bankye nhaban redan sika na rekyekye. Dɛn na ɛhia?,Cassava,1.0,1.0,1.0,A,normalized_exact,False,False,False,33,M'bankye nhaban redan sika na rekyekye. Dɛn na ɛhia?,Cassava,A,answer,False,False,tw,True,16.681,18.634,1.0,True,True,False
C4-B-005,B,Direct Twi,tw,9,Cattle Rearing,Dɛn na nhwiren-tew ferefere yɛ na ɛdeɛn na mefa di dwuma?,Dɛn na nhwiren-tew ferefere yɛ na ɛdeɛn na mefa di dwuma?,canonical_direct,A,False,Twi,9,Dɛn na nhwiren-tew ferefere yɛ na ɛdeɛn na mefa di dwuma?,Cattle Rearing,1.0,1.0,1.0,A,normalized_exact,False,False,False,9,Dɛn na nhwiren-tew ferefere yɛ na ɛdeɛn na mefa di dwuma?,Cattle Rearing,A,answer,False,False,tw,True,19.227,17.563,1.0,True,True,False
C4-B-006,B,Direct Twi,tw,514,Climate-Smart Farming,Mɛyɛ dɛn asiesie m'akuayɛ ma osu bere no akyɛ?,Mɛyɛ dɛn asiesie m'akuayɛ ma osu bere no akyɛ?,canonical_direct,A,False,Twi,514,Mɛyɛ dɛn asiesie m'akuayɛ ma osu bere no akyɛ?,Climate-Smart Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,514,Mɛyɛ dɛn asiesie m'akuayɛ ma osu bere no akyɛ?,Climate-Smart Farming,A,answer,False,False,tw,True,17.734,20.684,1.0,True,True,False
C4-B-007,B,Direct Twi,tw,374,Cocoa Farming,Mɛyɛ dɛn apaw beae a mɛyɛ cocoa nursery?,Mɛyɛ dɛn apaw beae a mɛyɛ cocoa nursery?,canonical_direct,A,False,Twi,374,Mɛyɛ dɛn apaw beae a mɛyɛ cocoa nursery?,Cocoa Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,374,Mɛyɛ dɛn apaw beae a mɛyɛ cocoa nursery?,Cocoa Farming,A,answer,False,False,tw,True,17.029,17.627,1.0,True,True,False
C4-B-008,B,Direct Twi,tw,404,Cucumber Farming,Beae bɛn na ɛfata ma cucumber?,Beae bɛn na ɛfata ma cucumber?,canonical_direct,A,False,Twi,404,Beae bɛn na ɛfata ma cucumber?,Cucumber Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,404,Beae bɛn na ɛfata ma cucumber?,Cucumber Farming,A,answer,False,False,tw,True,16.05,16.518,1.0,True,True,False
C4-B-009,B,Direct Twi,tw,494,Farm Business Planning,Nsɛmmisa bɛn na ɛsɛ sɛ mibisa ansa na mede sika ahyɛ kuayɛ adwuma foforo mu?,Nsɛmmisa bɛn na ɛsɛ sɛ mibisa ansa na mede sika ahyɛ kuayɛ adwuma foforo mu?,canonical_direct,A,False,Twi,494,Nsɛmmisa bɛn na ɛsɛ sɛ mibisa ansa na mede sika ahyɛ kuayɛ adwuma foforo mu?,Farm Business Planning,1.0,1.0,1.0,A,normalized_exact,False,False,False,494,Nsɛmmisa bɛn na ɛsɛ sɛ mibisa ansa na mede sika ahyɛ kuayɛ adwuma foforo mu?,Farm Business Planning,A,answer,False,False,tw,True,20.331,21.671,1.0,True,True,False
C4-B-010,B,Direct Twi,tw,39,Farm Management & General,Ɛdeɛn na metumi kora totrobonini ase wɔ m'afuo so?,Ɛdeɛn na metumi kora totrobonini ase wɔ m'afuo so?,canonical_direct,A,False,Twi,39,Ɛdeɛn na metumi kora totrobonini ase wɔ m'afuo so?,Farm Management & General,1.0,1.0,1.0,A,normalized_exact,False,False,False,39,Ɛdeɛn na metumi kora totrobonini ase wɔ m'afuo so?,Farm Management & General,A,answer,False,False,tw,True,17.213,18.919,1.0,True,True,False
C4-B-011,B,Direct Twi,tw,484,Farm Mechanization & Tools,Mɛyɛ dɛn apaw farm tool a ɛfata adwuma bi?,Mɛyɛ dɛn apaw farm tool a ɛfata adwuma bi?,canonical_direct,A,False,Twi,484,Mɛyɛ dɛn apaw farm tool a ɛfata adwuma bi?,Farm Mechanization & Tools,1.0,1.0,1.0,A,normalized_exact,False,False,False,484,Mɛyɛ dɛn apaw farm tool a ɛfata adwuma bi?,Farm Mechanization & Tools,A,answer,False,False,tw,True,17.837,20.249,1.0,True,True,False
C4-B-012,B,Direct Twi,tw,524,Farm Records & Extension,Farm records bɛn na beginner okuafoɔ ɛsɛ sɛ ofi ase de?,Farm records bɛn na beginner okuafoɔ ɛsɛ sɛ ofi ase de?,canonical_direct,A,False,Twi,524,Farm records bɛn na beginner okuafoɔ ɛsɛ sɛ ofi ase de?,Farm Records & Extension,1.0,1.0,1.0,A,normalized_exact,False,False,False,524,Farm records bɛn na beginner okuafoɔ ɛsɛ sɛ ofi ase de?,Farm Records & Extension,A,answer,False,False,tw,True,17.103,19.117,1.0,True,True,False
C4-B-013,B,Direct Twi,tw,11,Fertilizer & Nutrients,Ferefere dodo tumi sɛe m'nnuaba anaa?,Ferefere dodo tumi sɛe m'nnuaba anaa?,canonical_direct,A,False,Twi,11,Ferefere dodo tumi sɛe m'nnuaba anaa?,Fertilizer & Nutrients,1.0,1.0,1.0,A,normalized_exact,False,False,False,11,Ferefere dodo tumi sɛe m'nnuaba anaa?,Fertilizer & Nutrients,A,answer,False,False,tw,True,26.132,19.071,1.0,True,True,False
C4-B-014,B,Direct Twi,tw,79,Fish Farming,Ɛdeɛn na meguina nsuomnam anaa nam a ayaw wɔ afuo so a menwɔ fridge?,Ɛdeɛn na meguina nsuomnam anaa nam a ayaw wɔ afuo so a menwɔ fridge?,canonical_direct,A,False,Twi,79,Ɛdeɛn na meguina nsuomnam anaa nam a ayaw wɔ afuo so a menwɔ fridge?,Fish Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,79,Ɛdeɛn na meguina nsuomnam anaa nam a ayaw wɔ afuo so a menwɔ fridge?,Fish Farming,A,answer,False,False,tw,True,25.046,25.583,1.0,True,True,False
C4-B-015,B,Direct Twi,tw,147,Garden Eggs,Anammɔn bɛn na ɛyɛ pa wɔ kura garden egg (Afrika ntrɔba)?,Anammɔn bɛn na ɛyɛ pa wɔ kura garden egg (Afrika ntrɔba)?,canonical_direct,A,False,Twi,147,Anammɔn bɛn na ɛyɛ pa wɔ kura garden egg (Afrika ntrɔba)?,Garden Eggs,1.0,1.0,1.0,A,normalized_exact,False,False,False,147,Anammɔn bɛn na ɛyɛ pa wɔ kura garden egg (Afrika ntrɔba)?,Garden Eggs,A,answer,False,False,tw,True,15.658,17.302,1.0,True,True,False
C4-B-016,B,Direct Twi,tw,187,Goat Rearing,Ahohyenam bɛn na ɛkyerɛ sɛ m'abirekyi wɔ nyinsɛn na ɛdeɛn na meyɛ?,Ahohyenam bɛn na ɛkyerɛ sɛ m'abirekyi wɔ nyinsɛn na ɛdeɛn na meyɛ?,canonical_direct,A,False,Twi,187,Ahohyenam bɛn na ɛkyerɛ sɛ m'abirekyi wɔ nyinsɛn na ɛdeɛn na meyɛ?,Goat Rearing,1.0,1.0,1.0,A,normalized_exact,False,False,False,187,Ahohyenam bɛn na ɛkyerɛ sɛ m'abirekyi wɔ nyinsɛn na ɛdeɛn na meyɛ?,Goat Rearing,A,answer,False,False,tw,True,18.875,18.99,1.0,True,True,False
C4-B-017,B,Direct Twi,tw,454,Grasscutter Farming,Dan bɛn na grasscutter kuayɛ hia?,Dan bɛn na grasscutter kuayɛ hia?,canonical_direct,A,False,Twi,454,Dan bɛn na grasscutter kuayɛ hia?,Grasscutter Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,454,Dan bɛn na grasscutter kuayɛ hia?,Grasscutter Farming,A,answer,False,False,tw,True,20.892,15.747,1.0,True,True,False
C4-B-018,B,Direct Twi,tw,384,Groundnut & Legumes,Mɛyɛ dɛn ama nkatie nhwiren ne aba no ayɛ yie?,Mɛyɛ dɛn ama nkatie nhwiren ne aba no ayɛ yie?,canonical_direct,A,False,Twi,384,Mɛyɛ dɛn ama nkatie nhwiren ne aba no ayɛ yie?,Groundnut & Legumes,1.0,1.0,1.0,A,normalized_exact,False,False,False,384,Mɛyɛ dɛn ama nkatie nhwiren ne aba no ayɛ yie?,Groundnut & Legumes,A,answer,False,False,tw,True,15.3,16.147,1.0,True,True,False
C4-B-019,B,Direct Twi,tw,64,Harvesting & Storage,Bere bɛn wɔ da mu na ɛyɛ ɔkorɔ sɛ wogye nnuan?,Bere bɛn wɔ da mu na ɛyɛ ɔkorɔ sɛ wogye nnuan?,canonical_direct,A,False,Twi,64,Bere bɛn wɔ da mu na ɛyɛ ɔkorɔ sɛ wogye nnuan?,Harvesting & Storage,1.0,1.0,1.0,A,normalized_exact,False,False,False,64,Bere bɛn wɔ da mu na ɛyɛ ɔkorɔ sɛ wogye nnuan?,Harvesting & Storage,A,answer,False,False,tw,True,17.535,19.509,1.0,True,True,False
C4-B-020,B,Direct Twi,tw,43,Irrigation & Water,M'abɔdweɛ wɔ rust yadeɛ. Ɛdeɛn na meyɛ?,M'abɔdweɛ wɔ rust yadeɛ. Ɛdeɛn na meyɛ?,canonical_direct,A,False,Twi,43,M'abɔdweɛ wɔ rust yadeɛ. Ɛdeɛn na meyɛ?,Irrigation & Water,1.0,1.0,1.0,A,normalized_exact,False,False,False,43,M'abɔdweɛ wɔ rust yadeɛ. Ɛdeɛn na meyɛ?,Irrigation & Water,A,answer,False,False,tw,True,20.102,19.436,1.0,True,True,False
C4-B-021,B,Direct Twi,tw,2,Maize,Ferefere bɛn na ɛyɛ papa ma aburo?,Ferefere bɛn na ɛyɛ papa ma aburo?,canonical_direct,A,False,Twi,2,Ferefere bɛn na ɛyɛ papa ma aburo?,Maize,1.0,1.0,1.0,A,normalized_exact,False,False,False,2,Ferefere bɛn na ɛyɛ papa ma aburo?,Maize,A,answer,False,False,tw,True,15.879,15.489,1.0,True,True,False
C4-B-022,B,Direct Twi,tw,424,Mushroom Farming,Tebea bɛn na ɛsɛ sɛ mushrooms nya na wɔnyin?,Tebea bɛn na ɛsɛ sɛ mushrooms nya na wɔnyin?,canonical_direct,A,False,Twi,424,Tebea bɛn na ɛsɛ sɛ mushrooms nya na wɔnyin?,Mushroom Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,424,Tebea bɛn na ɛsɛ sɛ mushrooms nya na wɔnyin?,Mushroom Farming,A,answer,False,False,tw,True,15.384,21.45,1.0,True,True,False
